,RvrIn-Lake Tana Inflow,RvrIn-Fincha River,RvrIn-Gibr Shet River,RvrIn-Gibe River,RvrIn-Awasha River,RvrIn-Melka Wakena River,RvrIn-Tekeze River,RvrIn-Genale River
7774,0.005,2.744,0.038,0.12,0.035,0.294,0.01,0.3
7775,0.008,3.696,0.041,0.235,0.05,0.282,0.011,0.326
7776,0.01,3.377,0.119,0.518,0.114,0.185,0.013,0.296
7777,0.007,2.551,0.235,0.865,0.157,0.131,0.01,0.255
7778,0.006,1.734,0.29,1.056,0.173,0.103,0.009,0.224
7779,0.007,0.767,0.331,0.979,0.189,0.085,0.009,0.192
7780,0.005,0.251,0.3,0.669,0.182,0.08,0.007,0.177
7781,0.006,0.076,0.188,0.305,0.181,0.065,0.007,0.165
7782,0.003,0.027,0.13,0.143,0.182,0.059,0.004,0.175
7783,0.004,0.014,0.08,0.08,0.164,0.053,0.005,0.176
7784,0.003,0.01,0.106,0.084,0.163,0.059,0.006,0.196
7785,0.005,0.015,0.163,0.115,0.136,0.08,0.01,0.227
7786,0.016,0.033,0.209,0.141,0.153,0.114,0.022,0.213
7787,0.042,0.058,0.235,0.184,0.131,0.169,0.033,0.215
7788,0.066,0.133,0.225,0.205,0.121,0.244,0.034,0.208
7789,0.064,0.195,0.191,0.183,0.111,0.331,0.026,0.191
7790,0.051,0.19,0.165,0.161,0.082,0.378,0.02,0.177
7791,0.032,0.165,0.144,0.141,0.062,0.463,0.014,0.155
7792,0.019,0.134,0.109,0.105,0.048,0.581,0.01,0.179
7793,0.01,0.118,0.104,0.105,0.051,0.746,0.005,0.199
7794,0.011,0.121,0.09,0.094,0.063,0.945,0.006,0.238
7795,0.017,0.14,0.081,0.09,0.077,1.235,0.011,0.298
7796,0.024,0.166,0.072,0.09,0.091,1.749,0.018,0.457
7797,0.033,0.23,0.059,0.089,0.119,2.031,0.024,0.643
7798,0.038,0.347,0.074,0.092,0.208,1.571,0.027,0.641
7799,0.04,0.643,0.148,0.163,0.362,1.206,0.025,0.468
7800,0.051,1.341,0.202,0.255,0.505,1.001,0.026,0.341
7801,0.07,2.384,0.265,0.352,0.715,0.722,0.026,0.305
7802,0.081,3.597,0.315,0.465,1.113,0.498,0.028,0.248
7803,0.041,2.023,0.18,0.255,0.545,0.3,0.094,0.164
7804,0.034,1.768,0.206,0.288,0.691,0.163,0.095,0.139
7805,0.028,1.011,0.445,0.426,0.808,0.121,0.103,0.114
7806,0.034,0.457,0.81,0.667,0.758,0.118,0.128,0.075
