,Ethiopia Demand,Export Demand
621,2322.866872,432.2866872
622,2186.918986,418.6918986
623,2091.349222,409.1349222
624,1971.112178,397.1112178
625,1944.958583,394.4958583
626,1938.63075,393.863075
627,1959.374733,395.9374733
628,2019.382319,401.9382319
629,2126.638567,412.6638567
630,2231.445141,423.1445141
631,2319.611963,431.9611963
632,2406.465102,440.6465102
633,2453.389782,445.3389782
634,2472.072776,447.2072776
635,2460.216521,446.0216521
636,2435.037262,443.5037262
637,2389.918489,438.9918489
638,2394.475056,439.4475056
639,2414.658105,441.4658105
640,2437.86436,443.786436
641,2467.180869,446.7180869
642,2497.866792,449.7866792
643,2570.028562,457.0028562
644,2465.395479,446.5395479
645,2291.48565,429.148565
646,2121.012713,412.1012713
647,2007.448194,400.7448194
648,1989.905965,398.9905965
649,1971.747261,397.1747261
650,1961.209747,396.1209747
651,1983.776815,398.3776815
652,2044.343045,404.4343045
653,2157.660688,415.7660688
654,2242.673756,424.2673756
655,2349.712616,434.9712616
656,2441.634493,444.1634493
657,2485.93887,448.593887
658,2490.236728,449.0236728
659,2483.472686,448.3472686
660,2472.546201,447.2546201
661,2452.568421,445.2568421
662,2448.005842,444.8005842
663,2472.957216,447.2957216
664,2489.518716,448.9518716
665,2496.16996,449.616996
666,2520.081535,452.0081535
667,2598.748829,459.8748829
668,2527.624854,452.7624854
669,2335.787928,433.5787928
670,2179.688103,417.9688103
671,2089.932762,408.9932762
672,2011.404223,401.1404223
673,1979.519515,397.9519515
674,1966.874823,396.6874823
675,1985.618127,398.5618127
676,2066.543569,406.6543569
677,2177.369644,417.7369644
678,2291.995911,429.1995911
679,2414.120169,441.4120169
680,2506.008549,450.6008549
681,2531.058979,453.1058979
682,2528.56283,452.856283
683,2513.111461,451.3111461
684,2484.302636,448.4302636
685,2441.109726,444.1109726
686,2422.474447,442.2474447
687,2421.921434,442.1921434
688,2426.825459,442.6825459
689,2427.502245,442.7502245
690,2435.799171,443.5799171
691,2493.486674,449.3486674
692,2431.158244,443.1158244
693,2281.578256,428.1578256
694,2171.673649,417.1673649
695,2080.228347,408.0228347
696,2056.416783,405.6416783
697,2021.150627,402.1150627
698,1999.0671,399.90671
699,2006.107982,400.6107982
700,2045.002367,404.5002367
701,2117.602063,411.7602063
702,2189.920911,418.9920911
703,2290.844173,429.0844173
704,2390.480187,439.0480187
705,2416.893063,441.6893063
706,2391.857043,439.1857043
707,2371.65968,437.165968
708,2343.494718,434.3494718
709,2308.216824,430.8216824
710,2276.813081,427.6813081
711,2256.817073,425.6817073
712,2259.678717,425.9678717
713,2295.176862,429.5176862
714,2362.82854,436.282854
715,2477.391729,447.7391729
716,2393.68614,439.368614
717,2237.150011,423.7150011
718,2115.530194,411.5530194
719,2032.434209,403.2434209
720,1919.464024,391.9464024
721,1898.154335,389.8154335
722,1882.944307,388.2944307
723,1881.957566,388.1957566
724,1912.919471,391.2919471
725,1960.66055,396.066055
726,2036.760504,403.6760504
727,2159.947656,415.9947656
728,2258.110238,425.8110238
729,2309.998683,430.9998683
730,2303.257067,430.3257067
731,2297.971037,429.7971037
732,2265.244451,426.5244451
733,2203.8957,420.38957
734,2151.817541,415.1817541
735,2139.32439,413.932439
736,2165.126041,416.5126041
737,2205.069387,420.5069387
738,2283.944335,428.3944335
739,2413.470103,441.3470103
740,2350.778182,435.0778182
741,2161.451242,416.1451242
742,2008.339887,400.8339887
743,1913.376291,391.3376291
744,1842.075295,384.2075295
745,1821.557956,382.1557956
746,1810.583566,381.0583566
747,1819.363078,381.9363078
748,1875.761902,387.5761902
749,1994.476178,399.4476178
750,2091.623391,409.1623391
751,2218.067455,421.8067455
752,2344.893237,434.4893237
753,2405.490958,440.5490958
754,2433.738085,443.3738085
755,2446.048488,444.6048488
756,2430.207194,443.0207194
757,2403.29608,440.329608
758,2403.964086,440.3964086
759,2431.066059,443.1066059
760,2462.2715,446.22715
761,2481.452826,448.1452826
762,2511.226824,451.1226824
763,2577.836603,457.7836603
764,2452.823981,445.2823981
765,2275.325144,427.5325144
766,2129.318036,412.9318036
767,2024.059318,402.4059318
768,1949.338033,394.9338033
769,1915.470205,391.5470205
770,1904.778477,390.4778477
771,1914.956604,391.4956604
772,2002.187166,400.2187166
773,2141.485486,414.1485486
774,2229.415738,422.9415738
775,2276.246134,427.6246134
776,2387.273851,438.7273851
777,2420.131844,442.0131844
778,2427.199638,442.7199638
779,2435.886393,443.5886393
780,2437.165912,443.7165912
781,2422.327677,442.2327677
782,2419.890694,441.9890694
783,2452.587984,445.2587984
784,2490.852821,449.0852821
785,2510.117075,451.0117075
786,2547.043036,454.7043036
787,2619.453018,461.9453018
788,2485.69228,448.569228
789,2301.891567,430.1891567
790,2163.684388,416.3684388
791,2054.287083,405.4287083
792,2002.953465,400.2953465
793,1973.779814,397.3779814
794,1964.145539,396.4145539
795,1966.282874,396.6282874
796,2036.772815,403.6772815
797,2148.325967,414.8325967
798,2252.723244,425.2723244
799,2335.720555,433.5720555
800,2440.989866,444.0989866
801,2456.471964,445.6471964
802,2462.670586,446.2670586
803,2460.22845,446.022845
804,2454.446569,445.4446569
805,2440.834698,444.0834698
806,2458.085008,445.8085008
807,2477.381613,447.7381613
808,2515.724988,451.5724988
809,2539.576251,453.9576251
810,2541.077548,454.1077548
811,2601.372853,460.1372853
812,2483.787031,448.3787031
813,2295.210835,429.5210835
814,2151.616662,415.1616662
815,2062.91868,406.291868
816,2023.143004,402.3143004
817,2004.346354,400.4346354
818,1996.6263,399.66263
819,2009.009229,400.9009229
820,2090.133546,409.0133546
821,2217.066686,421.7066686
822,2339.886338,433.9886338
823,2402.806908,440.2806908
824,2493.942732,449.3942732
825,2514.141813,451.4141813
826,2537.887531,453.7887531
827,2530.005438,453.0005438
828,2505.672637,450.5672637
829,2485.733601,448.5733601
830,2500.61936,450.061936
831,2524.02449,452.402449
832,2549.408446,454.9408446
833,2562.65673,456.265673
834,2596.644418,459.6644418
835,2668.93559,466.893559
836,2525.719222,452.5719222
837,2347.490732,434.7490732
838,2173.992299,417.3992299
