,Gen-Awash II,Gen-Fincha,Gen-Genaledawa III,Gen-Gibgel Gibe I,Gen-Gibgel Gibe II,Gen-Gibgel Gibe III,Gen-Grand Renaissance Dam,Gen-Koka,Gen-Melka Wakena,Gen-Tekeze/ TK5,Gen-Tana Beles,Gen-Tis Abay I & II
4794,-29.287090558766856,-1.814522031913336,-73.62998921251348,-2.4385072094995763,-0.0,0.0,-57.25795577130528,-29.346264367816087,-1.440677966101695,-13.157894736842106,0.0,-15.697496947496946
4795,-52.61400128452152,-1.9126043039086515,-121.03559870550161,-3.3163698049194235,-0.0,0.0,-61.606661272923404,-43.0,-1.2348668280871673,-14.752791068580542,0.0,-16.994810744810742
4796,-64.0,-2.3049333918899135,-225.42880258899677,-7.120441051738761,-0.0,0.0,-72.47842502696871,-43.0,-1.1319612590799033,-12.360446570972888,0.0,-19.848901098901095
4797,-63.50674373795761,-2.746303615868833,0.0,-16.97201017811705,-0.0,-392.86138079827396,-64.50579827400215,-43.0,-1.1319612590799033,-8.771929824561404,0.0,-15.827228327228326
4798,-39.357739242132304,-2.9915092958571217,0.0,-33.3587786259542,-0.0,-581.475188781014,-57.25795577130528,-39.43726053639847,-1.337772397094431,-6.379585326953748,0.0,-12.583943833943833
4799,-18.1888246628131,-3.629044063826672,0.0,-51.793893129771,-0.0,-729.7437971952535,-52.54685814455231,-18.225574712643677,-1.337772397094431,-5.18341307814992,0.0,-9.21092796092796
4800,-8.323699421965319,-6.767676767676767,0.0,-64.18150975402884,-0.0,-813.460086299892,-72.47842502696871,-8.34051724137931,-1.2348668280871673,-3.9872408293460926,0.0,-8.043345543345543
4801,-3.9049454078355814,-15.006587615283266,0.0,-67.98558100084817,-0.0,-801.8608414239483,-134.44747842502696,-3.9128352490421454,-1.0290556900726393,-3.9872408293460926,0.0,-8.432539682539682
4802,-2.4662813102119463,-29.277558190601667,0.0,-62.23070398642918,-0.0,-689.9029126213593,-242.80272384034512,-2.471264367816092,-0.8232445520581115,-3.9872408293460926,0.0,-9.47039072039072
4803,-3.699421965317919,-84.69404186795491,0.0,-132.8498727735369,-7.91336874020049e-15,-1231.0329018338728,-655.2049622437971,-3.7068965517241375,-12.5544794188862,-5.18341307814992,0.0,-10.508241758241757
4804,-3.1856133590237636,-105.38940125896647,0.0,-115.39016115351994,-1.8200748102461125e-14,-1034.8543689320386,-750.0000000004213,-3.1920498084291187,-8.232445520581114,-5.18341307814992,0.0,-13.23260073260073
4805,-2.8773281952472707,-96.46391450739276,0.0,-98.41815097540288,-0.0,-923.9050701186623,-750.0000000004213,-2.8831417624521074,-4.939467312348669,-4.784688995215311,0.0,-13.49206349206349
4806,-2.363519588953115,-61.644707949055764,0.0,-88.27396098388465,-0.0,-861.8743257820928,-479.08238942826307,-2.368295019157088,-2.675544794188862,-3.588516746411483,0.0,-8.432539682539682
4807,-2.6718047527296083,-34.81920655833699,0.0,-78.91009329940628,-0.0,-765.0458468176915,-272.5188781014023,-2.6772030651340994,-1.9552058111380146,-3.9872408293460926,0.0,-5.448717948717949
4808,-4.521515735388568,-19.126043039086518,0.0,-66.32739609838848,-0.0,-631.9066882416397,-151.84230043149944,-4.530651340996168,-2.675544794188862,-3.588516746411483,0.0,-3.762210012210012
4809,-4.932562620423893,-11.230420143463622,0.0,-49.16030534351145,-0.0,-465.48274002157495,-92.04759978425025,-4.942528735632184,-3.8075060532687655,-1.9936204146730463,0.0,-3.2432844932844933
4810,-4.007707129094412,-6.473429951690821,0.0,-31.017811704834607,-0.0,-294.01564185544765,-55.44599514563106,-4.015804597701149,-4.424939467312349,-2.3923444976076556,0.0,-2.7243589743589745
4811,-4.418754014129736,-4.070414287805592,-182.05771305285867,-18.435114503816795,-0.0,0.0,-37.326388888888886,-4.427681992337164,-6.894673123486684,-3.588516746411483,0.0,-2.5946275946275943
4812,-5.5491329479768785,-3.187673839847753,-136.66936353829556,-12.680237489397795,-0.0,0.0,-32.25289913700107,-5.560344827586206,-9.878934624697338,-5.58213716108453,0.0,-3.113553113553113
